Clues,Institución,Sigla de la Institución,Entidad,Municipio,Siglas del tipo de unidad,Tipo de Unidad,Unidad Médica,Cantidad de salas,Nivel de Atención,Observaciones,Latitud,Longitud,Direccion
GRIMB008926,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Guerrero,Acapulco de Juárez,HG,Hospital General,Hospital General de Acapulco,1,Segundo Nivel,No aplica,16.930872,-99.82064,"CARRETERA FEDERAL MEXICO ACAPULCO LOTE 1-2 SIN NÚMERO, COLONIA SECCION LOS ORGANOS, ACAPULCO DE JUAREZ, GUERRERO, CP. 39901"
QRIMB001973,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Quintana Roo,Benito Juárez,HG,Hospital General,"Hospital General de Cancún ""Dr. Jesús Kumate Rodríguez""",1,Segundo Nivel,No aplica,21.19531,-86.87687,"AVENIDA ARCO NORTE 1110-19, FRACCIONAMIENTO VILLAS DEL MAR , BENITO JUAREZ, QUINTANA ROO, CP. 77517"
SLIMB000014,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Sinaloa,Culiacán,HG,Hospital General,Hospital General de Culiacán,1,Tercer Nivel,No aplica,24.7942929,-107.3866778,"BOULEVARD PASEO DE TAMAZULA SIN NÚMERO, COLONIA LA LIMITA DE ITAJE, CULIACAN, SINALOA, CP. 80064"
CCIMB001526,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Campeche,Campeche,HGE,Hospital General de Especialidades,"Hospital General de Especialidades ""Dr. Javier Buenfil Osorio""",1,Tercer Nivel,No aplica,19.815162,-90.523917,"CALLE LÁZARO CÁRDENAS  208, COLONIA LAS FLORES, CAMPECHE, CAMPECHE, CP. 24097"
BSIMB000672,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Baja California Sur,La Paz,HGE,Hospital General de Especialidades,"Hospital General de Especialidades ""Juan María Salvatierra""",1,Segundo Nivel,No aplica,24.113297,-110.318457,"AVENIDA DE LOS DEPORTISTAS 5115, COLONIA 8 DE OCTUBRE II SECCION, LA PAZ, BAJA CALIFORNIA SUR, CP. 23085"
BCIMB000355,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Baja California,Mexicali,HG,Hospital General,Hospital General de Mexicali,1,Segundo Nivel,No aplica,32.64480265,-115.4756079,"CALLE DEL HOSPITAL  SIN NÚMERO, COLONIA CENTRO CÍVICO Y, MEXICALI, BAJA CALIFORNIA, CP. 21000"
HGIMB002304,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Hidalgo,Pachuca de Soto,HG,Hospital General,Hospital General de Pachuca,1,Tercer Nivel,No aplica,20.11376,-98.72286,"CARRETERA PACHUCA - TULANCINGO 101, COLONIA CIUDAD DE LOS NIÑOS, PACHUCA DE SOTO, HIDALGO, CP. 42070"
ZSIMB002481,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Zacatecas,Zacatecas,HG,Hospital General,"Hospital General de Zacatecas ""Luz González Cosío""",1,Segundo Nivel,No aplica,22.778268,-102.619871,"CALLE CIRCUITO 410, FRACCIONAMIENTO CIUDAD GOBIERNO, ZACATECAS, ZACATECAS, CP. 98160"
SRIMB002203,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Sonora,Hermosillo,HG,Hospital General,Hospital General del Estado de Sonora,1,Tercer Nivel,No aplica,29.08175,-111.003861,"BOULEVARD LUIS DONALDO COLOSIO MURRIETA SIN NÚMERO, COLONIA LAS QUINTAS, HERMOSILLO, SONORA, CP. 83240"
TSIMB002865,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Tamaulipas,Victoria,HRAE,Hospital Regional de Alta Especialidad,"Hospital Regional de Alta Especialidad ""Bicentenario 2010""",1,Tercer Nivel,No aplica,23.761924,-99.107735,"LIBRAMIENTO GUADALUPE VICTORIA SIN NÚMERO, COLONIA AREA DE PAJARITOS, VICTORIA, TAMAULIPAS, CP. 87087"
