Clues,Institución,Sigla de la Institución,Entidad,Municipio,Siglas del tipo de unidad,Tipo de Unidad,Unidad Médica,Cantidad de salas,Nivel de Atención,Observaciones,Latitud,Longitud,Direccion
DFIST000534,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Ciudad de México,Miguel Hidalgo,HG,Hospital General,Hospital General Tacuba,1,Segundo Nivel,No aplica,19.4537917,-99.1909503,"CALLE LAGO ONTARIO S/N, COLONIA TACUBA, MIGUEL HIDALGO, CIUDAD DE MÉXICO, CP. 11410"
GRIST000520,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Guerrero,Acapulco de Juárez,HR,Hospital Regional,Hospital Regional Acapulco,1,Tercer Nivel,"Con sala funcional, pero sin personal",16.85263723,-99.85191629,"AVENIDA COMANDANTE BOUGANVILLE S/N, FRACCIONAMIENTO COSTA AZUL, ACAPULCO DE JUÁREZ, GUERRERO, CP. 39850"
MCIST000425,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Estado de México,Tultitlán,HR,Hospital Regional,Hospital Regional Bicentenario de la Independencia,1,Tercer Nivel,Funcionalidad Intermitente por Fallas en el Aire Acondicionado,19.6290116,-99.163345,"CALLE CIRUELOS S/N, ZONA INDUSTRIAL LÁZARO CÁRDENAS, TULTITLÁN, MÉXICO, CP. 54916"
MSIST000293,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Morelos,Emiliano Zapata,HR,Hospital Regional,Hospital Regional Centenario de la Revolución Mexicana,1,Tercer Nivel,No aplica,18.8476548,-99.1975378,"AVENIDA UNIVERSIDAD S/N, COLONIA PALO ESCRITO, EMILIANO ZAPATA, MORELOS, CP. 62760"
YNIST000030,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Yucatán,Mérida,HR,Hospital Regional,Hospital Regional de Mérida Elvia Carrillo Puerto,1,Tercer Nivel,No aplica,20.9956642,-89.6401182,"CALLE 7 S/N, COLONIA PENSIONES, MÉRIDA, YUCATÁN, CP. 97219"
SLIST000085,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Sinaloa,Culiacán,HR,Hospital Regional,Hospital Regional Dr. Manuel Cárdenas de la Vega,1,Tercer Nivel,No aplica,24.7959292,-107.3764675,"CALZADA HEROICO COLEGIO MILITAR SUR S/N, COLONIA COL. 5 DE MAYO, CULIACÁN, SINALOA, CP. 80090"
DFIST000160,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Ciudad de México,Iztapalapa,HR,Hospital Regional,Hospital Regional Gral. Ignacio Zaragoza,2,Tercer Nivel,No aplica,19.3893346,-99.044786,"CALZADA GRAL. IGNACIO ZARAGOZA S/N, COLONIA EJÉRCITO CONSTITUCIONALISTA, IZTAPALAPA, CIUDAD DE MÉXICO, CP. 9220"
GTIST000091,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Guanajuato,León,HR,Hospital Regional,Hospital Regional León,1,Tercer Nivel,No aplica,21.0983262,-101.6499623,"AVENIDA PRADERA S/N, COLONIA AZTECA, LEÓN, GUANAJUATO, CP. 37520"
DFIST000201,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Ciudad de México,Álvaro Obregón,HR,Hospital Regional,Hospital Regional Lic. Adolfo López Mateos,2,Tercer Nivel,No aplica,19.3587749,-99.1726649,"AVENIDA UNIVERSIDAD S/N, COLONIA FLORIDA, ÁLVARO OBREGÓN, CIUDAD DE MÉXICO, CP. 1030"
NLIST000105,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Nuevo León,Monterrey,HR,Hospital Regional,Hospital Regional Monterrey,2,Tercer Nivel,No aplica,25.7090897,-100.3593975,"CALLE ADOLFO LÓPEZ MATEOS S/N, COLONIA BUROCRATAS FEDERALES, MONTERREY, NUEVO LEÓN, CP. 64380"
MNIST000120,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Michoacán,Morelia,HR,Hospital Regional,Hospital Regional Morelia,1,Segundo Nivel,Funcionalidad Intermitente,19.73443813,-101.1044288,"CARRETERA MORELIA A CHARO KM 6 S/N, PUEBLO ATAPANEO, MORELIA, MICHOACÁN, CP. 58300"
OCIST000112,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Oaxaca,Oaxaca de Juárez,HR,Hospital Regional,Hospital Regional Presidente Benito Juárez,1,Tercer Nivel,"Con sala funcional, pero sin personal",17.08421191,-96.72283264,"CALLE DR. GERARDO VARELA S/N, COLONIA CERRO DEL CRESTON, OAXACA DE JUÁREZ, OAXACA, CP. 68040"
DFIST000090,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Ciudad de México,Gustavo A. Madero,HR,Hospital Regional,Hospital Regional Primero de Octubre,2,Tercer Nivel,No aplica,19.486615,-99.1332453,"AVENIDA INSTITUTO POLITÉCNICO NACIONAL S/N, COLONIA MAGDALENA DE LAS SALINAS, GUSTAVO A. MADERO, CIUDAD DE MÉXICO, CP. 7760"
PLIST000101,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Puebla,Puebla,HR,Hospital Regional,Hospital Regional Puebla,1,Tercer Nivel,No aplica,19.0206177,-98.198533,"BOULEVARD 14 SUR S/N, COLONIA JARDINES DE SAN MANUEL, PUEBLA, PUEBLA, CP. 72570"
JCIST000955,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Jalisco,Tlajomulco de Zúñiga,HR,Hospital Regional,Hospital Regional Tlajomulco,1,Tercer Nivel,No aplica,20.46221905,-103.4344292,"CALLE CERRO DEL PATOMO S/N, COLONIA CENTRO, TLAJOMULCO DE ZÚÑIGA, JALISCO, CP. 45640"
CLIST000350,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Coahuila,Torreón,HR,Hospital Regional,Hospital Regional Torreón,1,Tercer Nivel,No aplica,25.53030966,-103.3238249,"CALLE ROTARISMO INTERNACIONAL S/N, EJIDO EL ÁGUILA, TORREÓN, COAHUILA, CP. 27400"
PENDIENTE,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Jalisco,Zapopan,HR,Hospital Regional,Hospital Regional Valentín Gómez Farías,1,Tercer Nivel,No aplica,20.7186359,-103.3873164,"AVENIDA SOLEDAD OROZCO 203, COLONIA EL CAPULLO, ZAPOPAN, JALISCO, CP. 45100"
VZIST000301,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Veracruz,Veracruz,HR,Hospital Regional,Hospital Regional Veracruz,1,Tercer Nivel,No aplica,19.17205856,-96.1350174,"AVENIDA DÍAZ MIRÓN ESQUINA SAYULA S/N, FRACCIONAMIENTO MODERNO, VERACRUZ, VERACRUZ, CP. 91918"
DFIMS000575,Instituto Mexicano del Seguro Social,IMSS,Ciudad de México,Cuauhtémoc,HCARD,Hospital de Cardiología,"Hospital de Cardiología del ""CMN Siglo XXI""",4,Tercer Nivel,No aplica,19.40962963,-99.15164972,"AVENIDA CUAUHTÉMOC 330, COLONIA DOCTORES, CUAUHTEMOC, CIUDAD DE MEXICO, CP. 06720"
NLIMS000315,Instituto Mexicano del Seguro Social,IMSS,Nuevo León,Monterrey,HCARD,Hospital de Cardiología,"Hospital de Cardiología No. 34 ""Monterrey""",1,Tercer Nivel,No aplica,25.72858173,-100.3693983,"AVENIDA ABRAHAM LINCOLN SIN NUMERO, COLONIA VALLE VERDE 2DO SECTOR, MONTERREY, NUEVO LEON, CP. 64360"
DFIMS000020,Instituto Mexicano del Seguro Social,IMSS,Ciudad de México,Azcapotzalco,HES,Hospital de Especialidades,"Hospital de Especialidades del ""CMN La Raza""",3,Tercer Nivel,No aplica,19.4662,-99.1442,"CALLE SERIS SIN NUMERO, COLONIA LA RAZA, AZCAPOTZALCO, CIUDAD DE MEXICO, CP. 02990"
YNIMS000071,Instituto Mexicano del Seguro Social,IMSS,Yucatán,Mérida,HES,Hospital de Especialidades,"Hospital de Especialidades del ""CMN Mérida""",1,Tercer Nivel,No aplica,19.1994041,-96.1559521,"CALLE 41 X 34  EX TERRENOS EL FÉNIX 439, COLONIA INDUSTRIAL, MERIDA, YUCATAN, CP. 97150"
JCIMS000301,Instituto Mexicano del Seguro Social,IMSS,Jalisco,Guadalajara,HES,Hospital de Especialidades,"Hospital de Especialidades del ""CMN Occidente""",1,Tercer Nivel,No aplica,20.6861939,-103.3273887,"CALLE BELISARIO DOMÍNGUEZ 1000, FRACCIONAMIENTO INDEPENDENCIA ORIENTE, GUADALAJARA, JALISCO, CP. 44340"
PLIMS000200,Instituto Mexicano del Seguro Social,IMSS,Puebla,Puebla,HES,Hospital de Especialidades,"Hospital de Especialidades del ""CMN Puebla""",1,Tercer Nivel,No aplica,19.0512472,-98.1923175,"CALLE 2 NORTE 2004, COLONIA CENTRO, PUEBLA, PUEBLA, CP. 72000"
GTIMS000226,Instituto Mexicano del Seguro Social,IMSS,Guanajuato,León,HES,Hospital de Especialidades,"Hospital de Especialidades No. 1 del ""CMN del Bajío""",1,Tercer Nivel,No aplica,21.1398081,-101.6870355,"BOULEVARD ADOLFO LÓPEZ MATEOS SIN NUMERO, COLONIA LOS PARAÍSOS, LEON, GUANAJUATO, CP. 37328"
VZIMS001112,Instituto Mexicano del Seguro Social,IMSS,Veracruz,Veracruz,HES,Hospital de Especialidades,"Hospital de Especialidades No. 14 ""Veracruz""",1,Tercer Nivel,No aplica,19.1994,-96.15595,"AVENIDA CUAHUTEMOC SIN NUMERO, COLONIA FORMANDO HOGAR, VERACRUZ, VERACRUZ DE IGNACIO DE LA LLAVE, CP. 91810"
SRIMS000150,Instituto Mexicano del Seguro Social,IMSS,Sonora,Cajame,HES,Hospital de Especialidades,"Hospital de Especialidades No. 2 ""CMN Obregón""",1,Tercer Nivel,No aplica,27.49627105,-109.9632225,"CALLE DEL SEGURO SIN NUMERO, UNIDAD HABITACIONAL MULTIFAMILIARES IMSS, CAJEME, SONORA, CP. 85120"
NLIMS000303,Instituto Mexicano del Seguro Social,IMSS,Nuevo León,Monterrey,HES,Hospital de Especialidades,"Hospital de Especialidades No. 25 ""Monterrey""",1,Tercer Nivel,No aplica,25.71611475,-100.3504889,"EJE VIAL METROPOLITANO 36 SIN NUMERO, COLONIA VALLE DE LAS MITRAS, MONTERREY, NUEVO LEON, CP. 64300"
CLIMS000490,Instituto Mexicano del Seguro Social,IMSS,Coahuila,Torreón,HES,Hospital de Especialidades,"Hospital de Especialidades No. 71 ""Torreón""",1,Tercer Nivel,No aplica,25.53533776,-103.4200032,"BOULEVARD REVOLUCIÓN SIN NUMERO, COLONIA TORREÓN JARDÍN, TORREON, COAHUILA DE ZARAGOZA, CP. 27200"
OCIMS000136,Instituto Mexicano del Seguro Social,IMSS,Oaxaca,Oaxaca de Juárez,HGZ-UMAA,Hospital General de Zona - Unidad Médica de Atención Ambulatoria,"Hospital General de Zona - Unidad Médica de Atención Ambulatoria No. 1 ""Oaxaca""",1,Segundo Nivel,No aplica,17.07228,-96.72121,"CALZADA HEROES DE CHAPULTEPEC 621, COLONIA OAXACA CENTRO, OAXACA DE JUAREZ, OAXACA, CP. 68000"
BSIMS000113,Instituto Mexicano del Seguro Social,IMSS,Baja California Sur,La Paz,HGZMF,Hospital General de Zona con Medicina Familiar,"Hospital General de Zona con Medicina Familiar No. 1 ""La Paz""",1,Segundo Nivel,No aplica,24.14504577,-110.3190222,"BOULEVARD 5 DE FEBRERO SIN NUMERO, COLONIA PUEBLO NUEVO, LA PAZ, BAJA CALIFORNIA SUR, CP. 23060"
HGIMS000082,Instituto Mexicano del Seguro Social,IMSS,Hidalgo,Pachuca de Soto,HGZMF,Hospital General de Zona con Medicina Familiar,"Hospital General de Zona con Medicina Familiar No. 1 ""Pachuca""",1,Segundo Nivel,No aplica,20.11492845,-98.72354855,"AVENIDA FRANCISCO I MADERO 407, COLONIA NUEVA FRANCISCO I MADERO, PACHUCA DE SOTO, HIDALGO, CP. 42070"
GTIMS000185,Instituto Mexicano del Seguro Social,IMSS,Guanajuato,Irapuato,HGZMF,Hospital General de Zona con Medicina Familiar,"Hospital General de Zona con Medicina Familiar No. 2 ""Irapuato""",1,Segundo Nivel,No aplica,20.6679,-101.3758,"AVENIDA DE LA REFORMA 307, COLONIA GÁMEZ, IRAPUATO, GUANAJUATO, CP. 36650"
SLIMS000341,Instituto Mexicano del Seguro Social,IMSS,Sinaloa,Mazatlán,HGZMF,Hospital General de Zona con Medicina Familiar,"Hospital General de Zona con Medicina Familiar No. 3 ""Mazatlán""",1,Segundo Nivel,No aplica,23.23339,-106.42381,"AVENIDA EJÉRCITO MEXICANO SIN NUMERO, COLONIA ADOLFO LÓPEZ MATEOS, MAZATLAN, SINALOA, CP. 82149"
CCIMS000045,Instituto Mexicano del Seguro Social,IMSS,Campeche,Cármen,HGZMF,Hospital General de Zona con Medicina Familiar,"Hospital General de Zona con Medicina Familiar No. 4 ""Ciudad del Carmen""",1,Segundo Nivel,Dato por Comprobar,18.64313,-91.84008,"CALLE 41 ""B"" SIN NUMERO, COLONIA CIUDAD DEL CARMEN DEL CENTRO, CARMEN, CAMPECHE, CP. 24100"
DFIMS000534,Instituto Mexicano del Seguro Social,IMSS,Ciudad de México,Benito Juárez,HGR,Hospital General Regional,"Hospital General Regional No. 1 ""Dr. Carlos MacGregor Sánchez Navarro""",2,Segundo Nivel,No aplica,19.39540282,-99.1609164,"CALLE GABRIEL MANCERA 222, COLONIA DEL VALLE, BENITO JUAREZ, CIUDAD DE MEXICO, CP. 03100"
DGIMS000042,Instituto Mexicano del Seguro Social,IMSS,Durango,Durango,HGZ,Hospital General de Zona,"Hospital General de Zona No. 1 ""Durango""",1,Segundo Nivel,No aplica,24.0288,-104.6821,"AVENIDA NORMAL 200, COLONIA SILVESTRE DORADOR, DURANGO, DURANGO, CP. 34070"
NTIMS000190,Instituto Mexicano del Seguro Social,IMSS,Nayarit,Tepic,HGZ,Hospital General de Zona,"Hospital General de Zona No. 1 ""Tepic""",1,Segundo Nivel,No aplica,21.51407747,-104.9102566,"AVENIDA INSURGENTES PTE 727, COLONIA VILLAS DE SAN ÁNGEL, TEPIC, NAYARIT, CP. 63120"
CMIMS000186,Instituto Mexicano del Seguro Social,IMSS,Colima,Villa de Álvarez,HGZ,Hospital General de Zona,"Hospital General de Zona No. 1 ""Villa de Álvarez""",1,Segundo Nivel,No aplica,19.26978,-103.75988,"AVENIDA LAPISLÁZULI 250, FRACCIONAMIENTO EL HAYA, VILLA DE ALVAREZ, COLIMA, CP. 28983"
ASIMS000161,Instituto Mexicano del Seguro Social,IMSS,Aguascalientes,Jesús María,HGZ,Hospital General de Zona,"Hospital General de Zona No. 3 ""Jesús María""",1,Segundo Nivel,No aplica,21.95702898,-102.3081576,"PROLONGACIÓN GRAL. IGNACIO ZARAGOZA 905, EJIDO JESÚS MARÍA, JESUS MARIA, AGUASCALIENTES, CP. 20908"
BCIMS000110,Instituto Mexicano del Seguro Social,IMSS,Baja California,Mexicali,HGZ,Hospital General de Zona,"Hospital General de Zona No. 30 ""Mexicali""",1,Segundo Nivel,No aplica,32.66208,-115.46801,"AVENIDA LERDO 1500, COLONIA NUEVA, MEXICALI, BAJA CALIFORNIA, CP. 21100"
TCIMS000121,Instituto Mexicano del Seguro Social,IMSS,Tabasco,Centro,HGZ,Hospital General de Zona,"Hospital General de Zona No. 46 ""Villahermosa""",1,Segundo Nivel,No aplica,18.0139239,-92.9158088,"AVENIDA UNIVERSIDAD SIN NUMERO, COLONIA CASA BLANCA, CENTRO, TABASCO, CP. 86060"
SPIMS000376,Instituto Mexicano del Seguro Social,IMSS,San Luis Potosí,San Luis Potosí,HGZ,Hospital General de Zona,"Hospital General de Zona No. 50 ""Tangamanga""",1,Segundo Nivel,No aplica,22.13431,-100.9223,"AVENIDA TANNGAMANGA 205, COLONIA RICARDO B ANAYA, SAN LUIS POTOSI, SAN LUIS POTOSI, CP. 78390"
VZIMS000564,Instituto Mexicano del Seguro Social,IMSS,Veracruz,Xalapa,HGZ,Hospital General de Zona,"Hospital General de Zona No.11 ""Xalapa""",1,Segundo Nivel,No aplica,19.5222,-96.92036,"CALLE LOMAS DEL ESTADIO SIN NUMERO, COLONIA JALAPA ENRÍQUEZ CENTRO, XALAPA, VERACRUZ DE IGNACIO DE LA LLAVE, CP. 91000"
DFIMS000061,Instituto Mexicano del Seguro Social,IMSS,Ciudad de México,Azcapotzalco,HG,Hospital General,"Hospital General del ""CMN La Raza""",1,Segundo Nivel,No aplica,19.486,-99.182,"CIRCUITO INTEROR PASEO DE LAS JACARANDAS SIN NUMERO, COLONIA LA RAZA, AZCAPOTZALCO, CIUDAD DE MEXICO, CP. 02990"
VZIMS000733,Instituto Mexicano del Seguro Social,IMSS,Veracruz,Orizaba,HGR,Hospital General Regional,"Hospital General Regional ""Orizaba""",1,Segundo Nivel,No aplica,18.84974,-97.0847,"AVENIDA ORIENTE 6 SIN NUMERO, COLONIA ORIZABA CENTRO, ORIZABA, VERACRUZ DE IGNACIO DE LA LLAVE, CP. 94300"
CSIMS000391,Instituto Mexicano del Seguro Social,IMSS,Chiapas,Tuxtla Gutiérrez,HGRE,Hospital General Regional con Especialidades,"Hospital General Regional con Especialidades No. 13 ""XVI Septiembre""",1,Segundo Nivel,No aplica,16.78373,-93.17297,"CARRETERA CHICOASEN SN, COLONIA PLAN DE AYALA, TUXTLA GUTIERREZ, CHIAPAS, CP. 29020"
MSIMS000054,Instituto Mexicano del Seguro Social,IMSS,Morelos,Cuernavaca,HGRMF,Hospital General Regional con Medicina Familiar,"Hospital General Regional con Medicina Familiar No. 1 ""Cuernavaca""",1,Segundo Nivel,No aplica,18.9223557,-99.2054656,"AVENIDA PLAN DE AYALA 201, COLONIA RICARDO FLORES MAGÓN, CUERNAVACA, MORELOS, CP. 62450"
MNIMS000605,Instituto Mexicano del Seguro Social,IMSS,Michoacán,Charo,HGR,Hospital General Regional,"Hospital General Regional No. 1 ""Charo""",1,Segundo Nivel,No aplica,19.72491525,-101.0929868,"AVENIDA BOSQUES DE LOS OLIVOS 101, PUEBLO LA GOLETA, CHARO, MICHOACAN DE OCAMPO, CP. 61303"
CHIMS000136,Instituto Mexicano del Seguro Social,IMSS,Chihuahua,Chihuahua,HGR,Hospital General Regional,"Hospital General Regional No. 1 ""Chihuahua""",1,Segundo Nivel,No aplica,28.6437,-106.07881,"AVENIDA UNIVERSIDAD SIN NUMERO, COLONIA CHIHUAHUA CENTRO, CHIHUAHUA, CHIHUAHUA, CP. 31000"
SLIMS000131,Instituto Mexicano del Seguro Social,IMSS,Sinaloa,Culiacán,HGR,Hospital General Regional,"Hospital General Regional No. 1 ""Culiacán""",1,Segundo Nivel,No aplica,24.79738497,-107.3901023,"BOULEVARD FRANCISCO ZARZO SIN NUMERO, COLONIA MIGUEL ALEMÁN, CULIACAN, SINALOA, CP. 80200"
BCIMS000373,Instituto Mexicano del Seguro Social,IMSS,Baja California,Tijuana,HGR,Hospital General Regional,"Hospital General Regional No. 1 ""Tijuana""",1,Segundo Nivel,No aplica,32.477086,-116.926816,"CALLE CANADÁ 16801, COLONIA RIO TIJUANA 3ERA ETAPA, TIJUANA, BAJA CALIFORNIA, CP. 22226"
GRIMS000013,Instituto Mexicano del Seguro Social,IMSS,Guerrero,Acapulco de Juárez,HGR,Hospital General Regional,"Hospital General Regional No. 1 ""Vicente Guerrero""",1,Segundo Nivel,No aplica,16.87335,-99.89076,"AVENIDA ADOLFO RUIZ CORTINES SIN NUMERO, COLONIA ALTA PROGRESO, ACAPULCO DE JUAREZ, GUERRERO, CP. 39610"
QRIMS000142,Instituto Mexicano del Seguro Social,IMSS,Quintana Roo,Benito Juárez,HGR,Hospital General Regional,"Hospital General Regional No. 17 ""Cancún""",1,Segundo Nivel,No aplica,21.13648,-86.8552,"AVENIDA POLITÉCNICO NACIONAL MZ. 1 LOTE 1, COLONIA REGIÓN 506, BENITO JUAREZ, QUINTANA ROO, CP. 77533"
CHIMS000626,Instituto Mexicano del Seguro Social,IMSS,Chihuahua,,HGR,Hospital General Regional,"Hospital General Regional No. 2 ""Ciudad Juárez""",1,Segundo Nivel,No aplica,31.73199,-106.40273,"AVENIDA VICENTE GUERRERO 8560, COLONIA LAS QUINTAS, CIUDAD JUÁREZ, CHIHUAHUA, CP. 32424"
QTIMS000285,Instituto Mexicano del Seguro Social,IMSS,Querétaro,El Marqués,HGR,Hospital General Regional,"Hospital General Regional No. 2 ""El Marqués""",1,Segundo Nivel,No aplica,20.6461738,-100.3346625,"CIRCUITO UNIVERSIDADES 2DA ETAPA KM 1 SIN NUMERO, FRACCIONAMIENTO LA PRADERA, EL MARQUES, QUERETARO, CP. 76269"
MCIMS001185,Instituto Mexicano del Seguro Social,IMSS,Estado de México,Metepec,HGR,Hospital General Regional,"Hospital General Regional No. 251 ""Metepec""",1,Segundo Nivel,No aplica,19.24665723,-99.57690678,"AVENIDA CODAGEM 501, COLONIA MAYORAZGO, METEPEC, MEXICO, CP. 52140"
JCIMS000371,Instituto Mexicano del Seguro Social,IMSS,Jalisco,Guadalajara,HGR,Hospital General Regional,"Hospital General Regional No. 46 ""Guadalajara""",1,Segundo Nivel,No aplica,20.6475,-103.3622,"AVENIDA LÁZARO CÁRDENAS 1060, COLONIA 8 DE JULIO, GUADALAJARA, JALISCO, CP. 44910"
DFSDN000086,Secretaría de la Defensa Nacional,SEDENA,Ciudad de México,Miguel Hidalgo,HC,Hospital Central,Hospital Central Militar,1,Tercer Nivel,No aplica,19.43767,-99.21533,"AVENIDA EJÉRCITO NACIONAL S/N, COLONIA LOMAS DE SOTELO, MIGUEL HIDALGO, CIUDAD DE MEXICO, CP. 11200"
DFSMA000046,Secretaría de Marina,SEMAR,Ciudad de México,Coyoacán,HC,Hospital Central,Centro Médico Naval,1,Tercer Nivel,No aplica,19.3238,-99.12522,"EJE VIAL 2 ORIENTE TRAMO HEROICA ESCUELA NAVAL MILITAR 745, COLONIA PRESIDENTES EJIDALES 1ERA. SECCIÓN, COYOACAN, CIUDAD DE MEXICO, CP. 04470"
JCSSA002195,Secretaria de Salud,SSA,Jalisco,Guadalajara,HCVL,Hospital Civil,Antiguo Hospital Civil de Guadalajara Fray Antonio Alcalde,1,Tercer Nivel,No aplica,20.715989,-103.3546516,"CALLE HOSPITAL 278, COLONIA EL RETIRO, GUADALAJARA, JALISCO, CP. 44280"
DGSSA017872,Secretaria de Salud,SSA,Durango,Durango,HG,Hospital General,Hospital General 450,1,Segundo Nivel,No aplica,24.0554637,-104.6411711,"BOULEVARD JOSE MARIA PATONI 403  , COLONIA EL CIPRES, DURANGO, DURANGO, CP. 34217"
DFIMB000842,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Ciudad de México,Iztapalapa,HG,Hospital General,Hospital General de Iztapalapa,1,Segundo Nivel,No aplica,19.34400254,-99.02738212,"CALZADA ERMITA IZTAPALAPA 3018, COLONIA CITLALI, IZTAPALAPA, CIUDAD DE MEXICO, CP. 09660"
QTSSA002901,Secretaria de Salud,SSA,Querétaro,Querétaro,HG,Hospital General,Hospital General de Querétaro,1,Segundo Nivel,No aplica,20.57496157,-100.4164967,"CALLE JOSE ANTONIO GARCIA JIMENO 1000, COLONIA JARDINES DE LA HACIENDA, QUERETARO, QUERETARO, CP. 76180"
GTSSA005683,Secretaria de Salud,SSA,Guanajuato,León,HG,Hospital General,Hospital General León,1,Segundo Nivel,No aplica,21.06002,-101.56666,"BOULEVARD MILENIO 1002, COLONIA FRACCIONES DE LOS AGUIRRE, LEÓN, GUANAJUATO, CP. 37672"
CLSSA002862,Secretaria de Salud,SSA,Coahuila,Torreón,HG,Hospital General,Hospital General Torreón ,1,Segundo Nivel,No aplica,25.551891,-103.439128,"CALZADA DR. JOSÉ MARÍA RODRÍGUEZ 9000, EJIDO EL AGUILA, TORREÓN, COAHUILA, CP. 27060"
MCIMB012283,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Estado de México,Zumpango,HRAE,Hospital Regional de Alta Especialidad,Hospital Regional de Alta Especialidad de Zumpango,1,Tercer Nivel,No aplica,19.81539366,-99.08916452,"CARRETERA ZUMPANGO JILOTZINGO 400, BARRIO SANTIAGO SEGUNDA SECCIÓN, ZUMPANGO, MEXICO, CP. 55615"
